id_transacao,data_transacao,valor,tipo,categoria,descricao,conta_origem,conta_destino,status
TRX-035-2024,2024-02-18,230.00,DEBITO,SAUDE,Dentista,CC-12345,,CONFIRMADO
TRX-036-2024,2024-02-19,89.00,DEBITO,EDUCACAO,E-books,CC-12345,,CONFIRMADO
TRX-037-2024,2024-02-20,120.00,DEBITO,LAZER,Parque,CC-12345,,CONFIRMADO
TRX-038-2024,2024-02-21,2000.00,DEBITO,INVESTIMENTO,Tesouro direto,CC-12345,INV-22222,CONFIRMADO
TRX-039-2024,2024-02-22,450.00,CREDITO,TRANSFERENCIA,Recebido TED,CC-88888,CC-12345,CONFIRMADO
TRX-040-2024,2024-02-23,42.00,DEBITO,OUTROS,Presente,CC-12345,,CONFIRMADO
TRX-041-2024,2024-02-24,3500.00,CREDITO,SALARIO,Salario marco,CC-12345,,CONFIRMADO
TRX-042-2024,2024-02-25,78.30,DEBITO,ALIMENTACAO,Padaria,CC-12345,,CONFIRMADO
TRX-043-2024,2024-02-26,190.00,DEBITO,TRANSPORTE,Seguro carro,CC-12345,,CONFIRMADO
TRX-044-2024,2024-02-27,1100.00,DEBITO,MORADIA,Aluguel,CC-12345,,CONFIRMADO
TRX-045-2024,2024-02-28,55.00,DEBITO,SAUDE,Vitaminas,CC-12345,,CONFIRMADO
TRX-046-2024,2024-03-01,320.00,DEBITO,EDUCACAO,Workshop,CC-12345,,CONFIRMADO
TRX-047-2024,2024-03-02,200.00,DEBITO,LAZER,Viagem,CC-12345,,CONFIRMADO
TRX-048-2024,2024-03-03,1500.00,DEBITO,INVESTIMENTO,Fundo imobiliario,CC-12345,INV-33333,CONFIRMADO
TRX-049-2024,2024-03-04,100.00,DEBITO,TRANSFERENCIA,DOC,CC-12345,CC-77777,CANCELADO
TRX-050-2024,2024-03-05,60.00,DEBITO,OUTROS,Assinatura revista,CC-12345,,CONFIRMADO
